"","RBBP7","HDAC1","SIN3B","HDAC2","RBBP4","SIN3A","SUDS3","BRMS1L","SAP30L","ARID4A","ING1","ARID4B","SAP30","ING2","BRMS1","TNRC18","SAP130","HNRNPUL1","BAHCC1","PHF12","TUBA1A","CHD4","GATAD1","GATAD2B","MTA1","MBD3","MTA2","MBD2","GATAD2A","CHD3","PRKDC","CCT2","CCT5","TUBB6","TCP1","MSH2","CCT3","CCT4","CCT6A","CCT8","MORF4L1","CCT7","ERC1","CDK2AP1","MTA3","PWWP2A","CHD5","RCOR1","KDM1A","C16orf87","MIER1","DNTTIP1","WDR5","ZMYM2","GSE1","MIER3","ZMYM3","CTBP1","HMG20A","RERE","RCOR3","CDYL","ZNF516","MIER2","BCL11A","ZNF217","RREB1","RCOR2","PHF21A","ARID5B","MGA","EPPK1","HSPA1A","HSPA9","TUBB4B","TUBA4A","TUBA8","KPNA2","HSPA4","KPNB1","KPNA3","DECR1","HSPH1","CANX","ZNF219","HSPA4L","MORF4L2","ZNF512B","BCL11B","TRERF1","ZNF521","MRFAP1","MRGBP","BRD8","MRFAP1L1","LIN9","LYZ","LIN52","SUZ12","SCOC","LIN37","EZH2","CHAF1A","AEBP2","MYBL2","EED","LIN54","RNF41","PALB2","CHAF1B","EP400","BPTF","ASH1L","PCBP1","TUBB","SNRPD1","TUBA1C","HSPA8","U2AF2","RCC2","SNRPD2","RBM39","HMGB1","SNRPA","BTF3L4","EIF1AX","NUCKS1","ENO1","CKB","EIF5A","CPSF6","BTF3","EEF1A1","HNRNPF","RCN2","PCBP2","C1QBP","NCL","NPM1","SNRNP70","TUBA1B","HSP90AA1","PUF60","TUFM","HSP90AB1","CLTC","EIF5B","CACTIN","NACA","MCM3","DYNC1H1","SNRPD3","MFAP1","SPTAN1","HNRNPA2B1","SSRP1","DDX46","FBN2","FLNA","CSE1L","DSP","CTBP2","ZNF592","TRMT1","FBN1"
"GTEX-T6MN-0726-SM-32PML",12.4398,11.973,12.5878,11.3134,12.7138,11.8927,11.6141,8.909,11.2521,10.6812,9.2821,11.4788,7.9248,8.2288,10.0238,12.9205,10.4919,13.0517,11.1124,11.9496,12.9098,12.9179,12.0721,11.5421,12.0553,11.6961,11.7846,11.5957,11.3465,13.7581,12.4742,11.5038,11.6241,11.496,12.5434,10.1241,12.0728,11.8896,11.9058,12.1485,13.449,12.1466,11.1586,11.6277,11.2796,9.6073,6.3923,11.1306,11.792,8,10.9278,9.3815,10.8556,12.7762,13.078,10.2656,11.4003,12.1805,10.8056,13.5285,12.101,10.0634,11.3482,9.7566,6.375,11.3647,12.2782,6.0875,11.412,11.4813,11.1098,9.5699,12.0939,13.1165,12.0841,10.0249,7.8449,9.4669,11.5632,12.5057,10.544,10.9809,10.5236,13.7017,10.8756,9.2401,13.0365,11.8214,7.1699,10.0607,11.1344,13.0165,9.3238,11.7557,11.1972,7.1085,9.0279,9.5661,10.6974,11.1053,8.6454,8.3576,9.3859,10.5632,5.9542,9.9129,8.7781,10.5245,8.7682,8.29,12.062,12.1452,12.3767,13.274,13.9685,9.8202,10.9333,13.6177,12.357,11.815,11.2052,14.0918,13.8466,10.7781,10.6199,11.8546,13.5602,13.1084,10.7748,12.4749,12.6145,13.5234,18.2238,12.4582,10.851,14.2384,10.7099,14.0185,13.8408,14.4573,13.6081,14.2687,12.0984,12.2929,14.7607,13.4149,12.1658,11.0069,14.3833,11.2473,13.2891,10.6152,9.9915,14.0877,15.1917,12.2375,11.7039,6.2479,15.588,11.2192,13.1233,11.9813,12.0119,10.7532,12.5563
"GTEX-13NZB-2126-SM-5MR4Y",11.6291,12.2779,12.3931,11.2088,12.1904,11.6989,10.9456,8.6279,11.0478,10.3061,9.5971,10.9168,8.5157,7.8392,10.3298,12.6931,10.1548,12.7177,10.7764,11.3839,11.691,12.7327,11.31,11.178,11.9895,11.4366,11.3095,11.4094,11.0231,12.8715,11.5957,11.4833,11.7234,10.5883,11.9355,9.2336,12.0049,11.894,11.4578,11.6465,13.0548,12.4338,10.7887,11.4408,10.722,9.2167,4.9542,10.5641,11.3315,7.5469,10.2527,9.4429,10.5824,11.2767,11.9812,9.5981,11.0084,11.9229,10.2591,13.3049,11.1059,9.6653,10.5187,10.0755,7.1293,11.1724,11.2738,4.1699,11.0901,11.9484,10.4242,8.727,12.8981,12.6926,11.2019,10.3862,6.7782,9.1369,10.8665,12.0435,9.8106,10.5821,10.8098,13.4546,10.7669,8.1098,12.692,10.7665,8.5622,9.3083,10.5689,13.2362,9.3351,11.8388,11.1693,7.1497,9.6817,8.7245,9.9435,10.7591,9.0377,7.5999,8.9944,10.1712,3.8074,9.5137,8.5275,10.2408,8.4471,7.5236,11.4352,11.6375,11.6348,13.3657,12.8907,9.7091,10.003,12.8978,12.5873,11.5348,11.9307,13.7525,13.424,10.7065,10.1072,11.6202,12.775,13.7133,11.1997,12.6598,11.421,13.7871,18.357,12.5275,10.3026,14.1695,10.96,13.6309,13.9888,14.9716,13.0421,14.0811,11.9296,12.3024,15.0289,12.4848,11.8021,10.7347,14.4743,11.2161,13.0507,10.7914,10.3476,13.4127,14.6538,12.3216,11.1378,4.858,14.8671,10.8033,13.1315,11.6468,11.4422,10.8727,11.6698
"GTEX-ZU9S-1926-SM-5NQBP",12.1839,12.3576,12.7381,11.7061,12.6073,12.0108,11.3064,9.3369,11.3117,10.5008,9.6596,11.3739,8.8918,8.224,10.1611,12.7791,10.3083,12.9598,10.722,11.4404,12.9051,12.9336,11.6129,11.7948,12.1708,11.4533,11.6546,11.7026,11.3734,13.4882,12.4041,12.163,12.0499,11.916,12.4292,9.5527,12.4719,12.3188,12.0888,12.3199,13.6592,12.6371,11.4263,11.9087,11.1762,9.3531,7.375,11.0647,11.8665,8.1189,11.1306,9.6689,10.6202,12.5309,12.5152,10.0928,11.1668,11.9902,10.678,13.462,11.6546,10.2726,10.933,9.9844,6.8948,11.4629,11.9516,5.1699,11.3799,13.1327,11.1131,10.0967,12.4071,13.3647,12.6695,10.6071,7.4362,10.1958,11.6248,12.4933,10.4717,10.8781,11.7549,13.9203,10.7931,9.8439,13.3754,11.0073,7.2761,9.5887,10.6211,13.6627,8.971,11.7232,11.4793,7.2668,8.1441,9.0821,10.4663,11.2894,8.798,8.0875,9.0056,10.7912,4.585,9.8626,8.8948,10.5216,8.8074,7.7616,12.0438,12.0771,12.1591,13.4875,13.9633,10.4093,10.6086,13.3896,12.5779,11.8114,11.9281,14.0967,13.9288,11.0238,10.6761,12.1007,13.5847,13.9585,11.6926,12.9604,12.3872,13.8844,18.4791,12.8903,10.9226,14.2272,11.1948,14.0937,14.3375,14.4207,14.1729,14.6974,12.0345,12.2146,15.264,13.3123,12.6829,10.6805,14.7221,11.4003,13.3781,10.9459,10.4471,13.792,15.3259,12.4691,11.7708,6.3923,16.23,11.4336,13.1298,11.9786,11.6402,10.7305,12.0423
"GTEX-11DXW-0626-SM-5N9ER",11.7907,11.9189,12.103,10.9403,11.9362,11.3346,10.8373,8.2465,10.3072,10.4656,9.0997,10.8218,8.1033,7.4757,9.543,12.452,9.8796,12.5658,10.7707,11.2672,12.6923,12.5308,11.3576,11.1923,12.0674,11.0119,11.0795,11.1261,11.1567,13.1605,11.7887,11.2831,11.4776,11.4693,11.8255,9.3174,11.817,11.5196,11.5627,11.5565,13.0339,11.9352,10.9181,11.377,10.4848,9.255,4.7004,10.9121,11.137,7.4757,9.9816,8.9715,10.1729,11.9979,12.4694,9.4919,11.0231,11.89,10.432,12.7123,11.0362,9.3443,10.697,9.8517,5.4919,11.45,11.2615,5.4263,10.9181,12.2405,10.4553,8.4263,13.4554,12.4926,11.2812,9.2975,6.5343,9.2087,10.6891,12.0728,10.2082,10.7091,10.749,13.2024,10.3165,8.0243,12.981,10.8588,6.3923,9.7177,10.7185,12.8144,8.7001,11.2167,10.5736,6.6147,8.8103,8.4676,9.8452,10.5755,8.4722,8.2574,8.4798,10.2444,5.5546,9.5603,8.2143,9.8517,8.2046,7.2574,11.6425,11.6659,11.6958,12.874,13.7919,9.5546,10.0899,13.1249,12.2046,11.2685,11.2354,13.6096,13.4134,10.4553,9.9767,11.342,12.927,13.3125,10.8711,12.375,11.815,13.2552,17.9259,12.082,10.4051,13.7076,10.633,13.4444,13.2704,14.3717,13.8191,13.8474,11.3805,11.6874,14.7253,12.7807,12.0044,10.4566,14.1325,11.0279,13.0369,10.6388,9.6707,13.8783,14.674,11.7661,11.3317,5.0875,15.831,10.8025,12.3306,11.4267,10.983,10.6411,12.5241
"GTEX-UPK5-2326-SM-3P5Z8",12.1133,12.4949,12.9166,11.7768,12.7354,12.2504,11.7421,9.3186,11.8455,11.2015,10.2082,11.8013,8.8392,8.0821,10.4615,13.2299,10.5755,13.3473,11.6869,11.9377,13.1865,13.3259,12.3487,11.8865,12.3367,11.9876,12.3704,12.1049,11.776,13.5,12.4793,12.0165,12.3284,12.0782,12.7379,9.9787,12.6841,12.5299,12.3095,12.2125,13.7036,12.857,11.7172,11.7209,11.2003,10.363,4.9542,11.2515,12.0382,8.2574,11.3247,9.8138,11.1708,12.2963,12.7748,10.6751,11.3858,12.5922,11.0868,13.7745,11.9359,10.4157,11.2384,11.2503,7.4919,11.8641,11.7842,5.585,11.7013,13.0387,11.3208,8.6618,13.534,13.1878,12.6594,10.7096,7.4418,10.2115,11.6667,12.7287,10.865,10.8065,11.8293,14.0989,11.4137,9.8043,12.9936,11.4716,7.6582,9.9009,11.8408,13.6367,9.6384,12.2288,11.5098,8.1137,8.8704,8.9744,10.9219,11.3066,9.3427,8.4388,8.7347,11.2408,4.7004,10.1331,9.1799,11.1241,9.255,7.7549,12.4747,12.4614,12.5894,13.7883,14.1436,10.0154,10.988,14.1961,13.026,12.0835,11.7801,14.4405,14.0549,11.4194,10.7307,12.2511,13.6417,13.9616,11.5362,12.8187,12.5591,14.0765,18.9992,13.1523,10.988,14.5442,10.9009,14.1596,14.1576,14.896,14.4401,14.8559,12.1494,12.3435,15.6176,13.4165,12.5566,11.115,14.7915,11.7228,13.9406,11.0619,10.5971,14.029,15.5322,12.7591,11.8937,4.0875,15.9919,11.6147,13.08,12.4424,12.0227,11.5191,12.6806
"GTEX-VUSG-2226-SM-4KKZO",11.9713,12.0861,12.2814,11.4712,12.2758,11.8523,11.1102,8.8763,11.3061,10.268,9.6063,11.0325,8.5118,8.3264,10.2981,12.5206,10.3354,12.7194,11.2767,11.3705,12.7049,12.7852,11.5043,11.183,11.8364,11.914,11.7334,11.5589,11.2685,12.9715,11.7773,11.8146,11.9284,11.4004,12.2822,9.5641,12.1545,12.1269,11.7528,11.9196,13.366,12.4773,10.7532,11.9129,10.749,9.1523,8.0168,10.683,11.7377,7.7616,10.3977,9.4073,10.7346,11.9001,11.973,9.8719,11.0914,12.038,10.2132,13.2138,11.3778,9.8765,10.8971,10.1586,7.0661,11.0464,11.2894,4.7549,11.2246,11.8329,10.3848,8.4052,12.2805,12.8646,12.4562,10.3639,7.752,10.0518,11.2837,12.2797,10.2981,10.6421,11.0021,13.6996,11.1878,9.0577,12.7657,11.0909,7.0334,9.1573,10.7168,13.271,9.7846,11.8599,11.1338,7.1497,8.6863,8.697,10.1771,10.8549,8.6529,8.0389,8.8486,10.23,5.3923,9.7194,8.3399,10.5314,8.6147,7.585,11.7028,11.4754,11.5206,13.2573,14.0042,9.7582,10.8927,13.5918,12.476,11.9348,11.6124,13.776,13.4374,10.9196,10.4533,11.6312,13.0909,14.073,11.2161,12.7754,11.8619,13.6356,18.4171,12.7288,10.5812,14.0409,10.952,13.7657,14.0593,14.3786,14.0796,14.2698,12.0158,12.3095,14.9871,12.9529,11.8419,10.5373,14.4592,11.2946,13.2273,10.6928,10.1573,13.3142,14.9417,12.2447,11.3962,4.3923,15.2834,11.1855,12.4466,11.8448,11.4848,10.668,12.3188
"GTEX-ZVTK-0326-SM-51MRR",11.927,11.7061,11.5925,11.0526,11.9893,11.2702,11.0605,8.4915,10.6715,10.1573,9.4111,10.8918,8.0875,8.1293,9.8106,11.8182,9.7177,12.55,9.983,11.0355,12.0088,12.172,11.568,10.9809,11.5183,10.7905,11.0478,11.5396,10.5575,12.6909,11.2058,11.0901,11.2857,11.158,11.9448,9.29,11.5684,11.7486,11.2848,11.5651,12.8352,11.9296,10.1599,11.0667,10.5078,9.4635,3.3219,10.4979,11.1053,7.7142,10.5058,9.3399,9.7514,11.7461,12.1434,9.6847,10.4808,11.4339,9.9423,12.7603,11.245,9.5527,10.42,9.5641,6.2854,11.332,11.3652,3.9069,10.5962,11.7942,10.1662,8.2946,12.5646,12.4594,10.8318,9.503,6.9229,8.5884,10.5127,11.7941,9.9958,10.8734,10.2621,13.2406,10.4619,8.7043,12.5226,10.1881,8.375,9.2119,10.3219,12.8792,8.9127,11.1059,10.6411,6.9069,12.6079,8.3619,10.1608,10.7846,8.3675,7.1497,8.683,10.4252,4.1699,9.4737,8.3837,10.1561,8.2527,7.3219,11.0008,11.5202,11.327,12.9955,12.9663,9.5294,9.5227,13.0848,11.8521,11.4305,11.4507,13.6494,13.4998,10.6546,10.0379,11.7947,12.9858,13.3352,11.151,12.0367,11.6852,13.7696,18.1813,12.0492,10.3465,13.9299,10.5575,13.2025,13.7735,14.1509,12.881,13.9134,11.6202,11.5817,14.6614,12.4406,12.0471,10.1639,14.5222,10.7863,12.5857,10.6337,9.4325,13.0957,14.5103,11.8757,10.9412,4.3219,14.7179,10.7649,12.1895,11.7059,11.0179,10.4083,11.2497
"GTEX-14ABY-2126-SM-5QGQZ",12.124,12.2685,11.158,11.1222,12.2306,10.4589,9.817,7.9242,9.6987,8.8138,9.4154,9.9701,8.5774,8.1849,10.611,11.3531,9.0251,11.9929,9.2784,10.1662,12.7483,11.9403,10.0875,9.058,11.2595,10.9485,10.7039,11.032,10.0168,11.6965,10.2058,11.6384,11.751,10.5966,12.2416,9.0553,12.1787,12.1157,11.3359,11.8313,12.6364,12.4543,8.9944,11.6032,10.5048,8.9337,3.4594,9.5078,11.0417,7.6795,9.3443,9.9322,9.9568,10.6742,11.0967,8.7748,10.3151,11.3472,8.6027,11.4706,10.2597,9.1007,9.0875,9.5901,7.1699,10.2515,9.9873,5.0875,9.3945,10.611,8.8857,8.9944,12.7594,12.5668,12.3438,10.568,5.8728,9.5886,10.7723,10.7472,9.5507,11.1079,10.4594,13.0049,10.5848,7.8651,11.9337,9.7811,7.0661,7.9773,9.7632,13.0985,8.8884,10.8384,11.021,7,8.5549,7.9887,9.7704,11.3815,9.248,7.4757,8.0768,9.6618,5.3219,9.3663,7.8704,9.7347,8.0661,7.3663,10.1409,9.8478,9.875,13.2279,13.3306,10.2095,10.5623,13.4849,11.8258,11.1491,12.7924,12.8704,13.0604,10.9506,10.1176,12.0561,11.9476,13.6468,11.7855,12.8892,10.8857,14.3802,18.3093,12.3106,10.6909,13.6984,11.8025,12.7908,14.078,14.2211,13.7682,13.9936,12.2378,12.5168,14.4145,12.06,10.2707,10.1347,15.147,10.8297,11.8202,11.5877,10.1408,12.508,13.7721,11.6808,10.2082,3.1699,13.8893,10.5971,12.0088,11.3575,10.2021,10.3231,10.0512
"GTEX-R55F-1726-SM-2TF4R",11.5663,11.432,12.2533,11.0396,12.1892,11.6516,10.9971,8.6537,10.5736,10.7245,9.243,11.5296,8.0056,7.6221,9.0279,12.1821,9.8424,12.4984,10.115,11.2275,11.0268,12.2809,11.6515,11.5483,11.3239,10.3097,11.0307,11.395,10.813,12.5833,11.8273,11.2228,11.3458,10.1702,11.8268,9.255,11.5584,11.6743,11.4126,11.7431,12.9131,11.8443,10.6847,10.4482,10.6257,9.3309,5.0875,10.676,11.2889,7.4179,10.8719,8.8009,9.9704,12.0213,12.1241,9.9944,10.6564,11.0795,10.5141,12.9071,11.4959,9.7448,10.8226,9.375,6.8948,11.2251,11.4651,4,11.0921,13.1173,10.7715,8.6073,11.2191,12.6195,10.336,9.2533,6.6311,8.4527,10.749,12.1089,10.1098,10.2252,11.6101,13.6078,9.6765,8.6104,12.6796,10.3222,6,8.1033,10.0941,12.9359,8.4506,11.3072,10.611,7.3663,9.568,8.8826,10.4391,10.7707,7.71,7.6582,7.8948,10.6448,3,9.5943,8.6582,9.9218,8.6865,7.5392,11.3988,11.8393,12.071,12.7551,12.8879,9.1599,9.0904,12.4409,11.6649,11.1157,10.5594,13.8976,13.3101,10.3242,10.3357,11.884,13.1895,13.4437,9.5392,11.9607,12.2085,13.2026,17.7749,12.32,10.3859,13.8058,10.0112,13.5115,13.6488,13.77,12.6236,13.7845,10.96,11.1824,14.7107,12.8404,12.2207,10.0291,13.924,10.6511,12.4785,10.0817,9.7091,13.084,14.5839,11.762,11.4491,2.3219,14.8691,11.007,13.1198,11.6214,11.0715,10.2738,11.2819
"GTEX-U3ZH-1426-SM-4DXSR",11.5477,11.6627,12.2052,11.0396,12.1026,11.8381,10.8662,8.2833,11.0098,10.4686,9.0687,11.1348,7.5999,7.6073,9.1997,12.8156,10.0098,12.5543,11.1267,11.4564,11.5815,12.8272,11.4778,11.1867,11.8259,11.0375,11.4115,11.1799,11.0369,12.7574,11.7364,11.1383,11.095,10.582,11.7189,9.6129,11.6434,11.7639,11.3157,11.4388,12.5949,11.7511,10.8525,10.6378,10.5177,9.4512,4.7004,10.93,11.4067,7.5236,10.218,8.9307,10.3969,11.8997,12.116,9.7074,10.7566,11.6997,10.2332,12.9091,11.4168,9.7262,10.693,10.2119,8.2384,10.6961,11.2732,4.7004,11.0526,11.9432,10.8694,8.2811,12.3263,12.3407,11.2575,9.5382,6.9849,9.1672,10.8345,12.009,9.9322,9.8486,10.7748,13.4546,10.8092,8.4814,12.041,11.0606,8.0498,8.9069,10.9651,12.5541,8.8824,11.446,10.7237,7.4512,10.3685,8.5038,10.3223,10.4284,8.2462,8.1849,8.5584,10.2703,3.9069,9.5999,8.6366,10.1176,8.3837,7.4429,11.7625,11.9014,11.988,12.6823,12.9567,9.1033,9.8419,12.9392,12.1036,11.3647,10.7952,13.8752,13.1526,10.5008,9.8313,11.2964,12.8713,13.085,10.4105,11.7579,11.9174,13.163,18.1212,12.0272,10.3174,13.7107,10.0458,13.3761,13.4429,14.1777,13.1078,14.0068,11.4019,11.5078,14.7057,12.5399,11.6161,10.3837,14.0193,10.8258,13.0821,10.1871,9.7448,13.3868,14.5238,11.7549,11.1605,5.1293,15.223,10.9614,12.6533,11.6671,11.1131,10.3174,11.2491
