"","XenaHosts","XenaHostNames","XenaCohorts","XenaDatasets","SampleCount","DataSubtype","Label","Type","AnatomicalOrigin","SampleType","Tags","ProbeMap","LongTitle","Citation","Version","Unit","Platform"
"1","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer Cell Lines (Neve 2006)","ucsfNeve_public/ucsfNeveExp_genomicMatrix",51,"gene expression","Neve Cell Line gene expression","genomicMatrix","Breast","cell line","cell lines,breast cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Cell Line Gene Expression (Neve et al. Cancer Cell 2006)","Cancer Cell. 2006 Dec;10(6):515-27.","2011-11-01",NA,NA
"2","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer Cell Lines (Neve 2006)","ucsfNeve_public/ucsfNeve_public_clinicalMatrix",57,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"3","https://ucscpublic.xenahubs.net","publicHub","Glioma (Kotliarov 2006)","kotliarov2006_public/kotliarov2006_genomicMatrix",194,"copy number","Kotliarov Glioma CGH","genomicMatrix","Brain","tumor","cancer,neural","probeMap/probesAffy100K","Glioma CGH (Kotliarov et al. 2006)","Cancer Res. 2006 Oct 1;66(19):9428-36.","2011-11-01",NA,NA
"4","https://ucscpublic.xenahubs.net","publicHub","Glioma (Kotliarov 2006)","kotliarov2006_public/kotliarov2006_public_clinicalMatrix",194,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"5","https://ucscpublic.xenahubs.net","publicHub","Lung Cancer CGH (Weir 2007)","weir2007_public/weir2007_genomicMatrix",383,"copy number","CGH","genomicMatrix","Lung","tumor","cancer","probeMap/probeAffy500K","Lung CGH (Weir et al. 2007)","Nature. 2007 Dec 6;450(7171):893-8. Epub 2007 Nov 4.","2011-11-01",NA,NA
"6","https://ucscpublic.xenahubs.net","publicHub","Lung Cancer CGH (Weir 2007)","weir2007_public/weir2007_public_clinicalMatrix",383,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"7","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (Breast)","ccle/CCLE_copynumber_byGene_2013-12-03_breast",59,"copy number","Copy-number values per gene","genomicMatrix","","","",NA,NA,NA,"2018-05-30","log(copy number/2)",NA
"8","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (Breast)","ccle/CCLE_DepMap_18Q2_maf_20180502_breast",62,"somatic mutation (SNPs and small INDELs)","Merged mutation calls (coding region, germline filtered)","mutationVector","","","",NA,NA,NA,"2018-05-30",NA,NA
"9","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (Breast)","ccle/CCLE_NP24.2009_Drug_data_2015.02.24_breast",30,"phenotype","Pharmacologic profiles for 24 anticancer drugs across 504 CCLE lines","clinicalMatrix","","","",NA,NA,NA,"2018-05-30",NA,NA
"10","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (Breast)","ccle/CCLE_sample_info_file_2012-10-18_breast",60,"phenotype","cell line annotations","clinicalMatrix","","","",NA,NA,NA,"2018-05-30",NA,NA
"11","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Chin 2006)","chin2006_public/chin2006Exp_genomicMatrix",118,"gene expression","Gene expression","genomicMatrix","Breast","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Gene Expression (Chin et al. Cancer Cell 2006)","Cancer Cell. 2006 Dec;10(6):529-41.","2011-11-01",NA,NA
"12","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Chin 2006)","chin2006_public/chin2006_public_clinicalMatrix",173,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"13","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Chin 2006)","chin2006_public/ucsfChinCGH2006_genomicMatrix",144,"copy number","Copy number","genomicMatrix","Breast","tumor","cancer","chin2006_public/ucsfChinCGH2006Probe","CGH (Chin et al. Cancer Cell 2006)","Cancer Cell. 2006 Dec;10(6):529-41.","2011-11-01",NA,NA
"14","https://ucscpublic.xenahubs.net","publicHub","Melanoma (Lin 2008)","lin2008_public/lin2008cnv250K_genomicMatrix",101,"copy number","Lin CGH","genomicMatrix","Skin","tumor","cancer","probeMap/probeAffy250KstyI","Melanoma 250K CGH (Lin et al. 2008)","Cancer Res. 2008 Feb 1;68(3):664-73.","2011-11-01",NA,NA
"15","https://ucscpublic.xenahubs.net","publicHub","Melanoma (Lin 2008)","lin2008_public/lin2008Exp_genomicMatrix",95,"gene expression","Lin Gene Exp","genomicMatrix","Skin","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Melanoma Gene Expression (Lin et al. 2008)","Cancer Res. 2008 Feb 1;68(3):664-73.","2011-11-01",NA,NA
"16","https://ucscpublic.xenahubs.net","publicHub","Melanoma (Lin 2008)","lin2008_public/lin2008_public_clinicalMatrix",129,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"17","https://ucscpublic.xenahubs.net","publicHub","MET500 (expression centric)","MET500/geneExpression/M.meta.plus.txt",868,"phenotype","sequencing sample metadata","clinicalMatrix","","","",NA,NA,"Nature. 2017 Aug 17;548(7667):297-303. doi: 10.1038/nature23306.","2018-12-19",NA,NA
"18","https://ucscpublic.xenahubs.net","publicHub","MET500 (expression centric)","MET500/geneExpression/M.mx.log2.txt",868,"gene expression","RNAseq log2(fpkm)","genomicMatrix","","","","probeMap/gencode.v23.annotation.gene.probemap",NA,"Nature. 2017 Aug 17;548(7667):297-303. doi: 10.1038/nature23306.","2018-12-19","log2(fpkm+0.001)",NA
"19","https://ucscpublic.xenahubs.net","publicHub","MET500 (expression centric)","MET500/geneExpression/M.mx.log2.zscore.txt",868,"gene expression","RNAseq zscore","genomicMatrix","","","","probeMap/gencode.v23.annotation.gene.probemap",NA,"Nature. 2017 Aug 17;548(7667):297-303. doi: 10.1038/nature23306.","2018-12-19","z score",NA
"20","https://ucscpublic.xenahubs.net","publicHub","MET500 (expression centric)","MET500/geneExpression/M.mx.txt",868,"gene expression","RNAseq (fpkm)","genomicMatrix","","","","probeMap/gencode.v23.annotation.gene.probemap",NA,"Nature. 2017 Aug 17;548(7667):297-303. doi: 10.1038/nature23306.","2018-12-19","log2(fpkm+0.001)",NA
"21","https://ucscpublic.xenahubs.net","publicHub","Normal Breast (Benz 2020)","ktb/clinical.tsv",151,"phenotype","clinical","clinicalMatrix","","","",NA,NA,NA,"2020-02-19",NA,NA
"22","https://ucscpublic.xenahubs.net","publicHub","Normal Breast (Benz 2020)","ktb/expression_log_tpm_f_samples.tsv",96,"gene expression","Normal human breast FFPE samples gene expression","genomicMatrix","","","",NA,NA,NA,"2020-02-04","log(TPM+1)",NA
"23","https://ucscpublic.xenahubs.net","publicHub","Normal Breast (Benz 2020)","ktb/expression_log_tpm_p_samples.tsv",55,"gene expression","Normal human breast PFPE samples gene expression","genomicMatrix","","","",NA,NA,NA,"2020-02-04","log(TPM+1)",NA
"24","https://ucscpublic.xenahubs.net","publicHub","Normal Breast (Benz 2020)","ktb/expression.tsv",145,"gene expression","batch-corrected gene expression","genomicMatrix","","","",NA,NA,NA,"2020-02-04","batch-corrected TPM",NA
"25","https://ucscpublic.xenahubs.net","publicHub","Normal Breast (Benz 2020)","ktb/mutation.tsv",151,"somatic mutation","hotspot mutation count","genomicMatrix","","","",NA,NA,NA,"20920-02-20","hotspot mutation count",NA
"26","https://ucscpublic.xenahubs.net","publicHub","lymph-node-negative breast cancer (Wang 2005)","wang2005_public/wang2005Exp_genomicMatrix",286,"gene expression","Gene expression","genomicMatrix","Breast","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Lymph-Node-Negative Gene Expression (Wang et al. Lancet 2005)","Lancet. 2005 Feb 19-25;365(9460):671-9.","2011-11-01",NA,NA
"27","https://ucscpublic.xenahubs.net","publicHub","lymph-node-negative breast cancer (Wang 2005)","wang2005_public/wang2005_public_clinicalMatrix",286,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"28","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (vantVeer 2002)","vantVeer_public/vantVeerExp_genomicMatrix",117,"gene expression","gene expression","genomicMatrix","Breast","tumor","cancer","probeAgilentVV","Gene Expression (van 't Veer et al. Nature 2002)","Nature. 2002 Jan 31;415(6871):530-6","2011-11-01",NA,NA
"29","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (vantVeer 2002)","vantVeer_public/vantVeer_public_clinicalMatrix",117,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"30","https://ucscpublic.xenahubs.net","publicHub","Neuroblastoma (Khan)","Khan_neuroblastoma/expression",177,"gene expression","gene expression","genomicMatrix","Adrenal gland","tumor","cancer,neural,pediatric","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Neuroblastoma Affymetrix Gene Expression",NA,"2013-09-26",NA,NA
"31","https://ucscpublic.xenahubs.net","publicHub","Neuroblastoma (Khan)","Khan_neuroblastoma/neuroblastoma_affy_clinicalMatrix",177,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2013-09-26",NA,NA
