Gene Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue
AL591069.1,64.97183946,-1.451621681,0.328799557,-4.414913738,1.01E-05
ZNF75A,41.6205477,-0.680148217,0.154988089,-4.388390248,1.14E-05
COPB2,565.0322998,0.562730849,0.129046012,4.360699247,1.30E-05
AL136528.1,2.686705608,3.108798794,0.753723548,4.124587592,3.71E-05
RNA5SP501,73.47008341,-0.647386541,0.160969061,-4.021807266,5.78E-05
MELK,2.571213497,2.583376103,0.642877898,4.018455311,5.86E-05
AC012146.1,17.57963413,2.243820494,0.564775685,3.972941033,7.10E-05
AL359762.2,28.84403013,0.742550755,0.18720924,3.966421512,7.30E-05
CCDC63,48.05292414,1.430980908,0.362366479,3.948988084,7.85E-05
YIPF3,3.289098026,2.805247037,0.72570453,3.865549849,1.11E-04
C19orf25,19.23561715,0.717018723,0.189480221,3.784134937,1.54E-04
SVIP,191.0191999,0.826922401,0.21881592,3.779077864,1.57E-04
KCNQ5-AS1,413.2873056,-0.902931637,0.240809561,-3.749567218,1.77E-04
HAR1B,9.842019707,1.622401769,0.432846314,3.748216664,1.78E-04
BDNF-AS,133.9342143,1.206272398,0.323268607,3.731486365,1.90E-04
KLF13,6.517408041,-2.401801615,0.643707694,-3.731199171,1.91E-04
PSMA6,26.8382248,1.242836108,0.334965234,3.710343592,2.07E-04
AC010480.1,74.5401775,0.812086178,0.219105661,3.706367855,2.10E-04
FBXO45,11.05823211,-0.924414486,0.250762051,-3.686420974,2.27E-04
ZCCHC17,134.691907,1.070197136,0.291476459,3.67164175,2.41E-04
AC024575.1,12.12695041,-0.800172479,0.218121033,-3.668479222,2.44E-04
CRYBG1,126.7920639,0.565987095,0.156805911,3.609475504,3.07E-04
AL023775.2,35.04778774,0.861712562,0.240271844,3.586406752,3.35E-04
MMP2-AS1,29.64302743,1.240949555,0.346046967,3.586072622,3.36E-04
AL359633.1,92.06983622,0.685877751,0.192281876,3.567043151,3.61E-04
AC118758.3,10.91488775,-3.012722857,0.845158077,-3.564685635,3.64E-04
SETX,3.676753201,-2.424639273,0.685076145,-3.539225952,4.01E-04
AC008014.1,42.84752612,-0.878156857,0.251945831,-3.485498659,4.91E-04
YWHAB,4.203946316,-1.708981552,0.490775868,-3.482203715,4.97E-04
YARS2,25.35425884,0.89439522,0.257080154,3.479051983,5.03E-04
AL049869.3,32.56548167,0.634756553,0.183783253,3.453832404,5.53E-04
SCARNA13,1.649995049,-2.181679737,0.634216738,-3.439959253,5.82E-04
ATF3,3.095068906,2.81443373,0.818485908,3.438585446,5.85E-04
KLLN,9.84530616,-0.930578879,0.271466614,-3.427968043,6.08E-04
LINC02699,3.417794973,-2.299168478,0.672519188,-3.418740341,6.29E-04
