ROW_NAMES,Halo_ARID4A_REPLICATE_dS_AVG,Halo_ARID4B_REPLICATE_dS_AVG,Halo_BRMS1_REPLICATE_dS_AVG,Halo_BRMS1L_REPLICATE_dS_AVG,Halo_GATAD1_REPLICATE_dS_AVG,HDAC1.Halo_REPLICATE_dS_AVG,HDAC2_Halo_REPLICATE_dS_AVG,Halo_ING1_REPLICATE_dS_AVG,Halo_ING2_REPLICATE_dS_AVG,MORF4L1_Halo_REPLICATE_dS_AVG,Halo_PHF12_REPLICATE_dS_AVG,Halo_RBBP4_REPLICATE_dS_AVG,Halo_SAP30_REPLICATE_dS_AVG,Halo_SAP30L_REPLICATE_dS_AVG,Halo_SAP130_REPLICATE_dS_AVG,SIN3A_Halo_REPLICATE_dS_AVG,SIN3B_2_Halo_REPLICATE_dS_AVG,Halo_SUDS3_REPLICATE_dS_AVG,complex
RBBP7,-105.321,-82.91613,-77.10467,-118.5383,-22.39849,-378.0124,368.7006,376.4794,-111.6674,-52.48265,-32.61351,-143.6073,479.3432,757.1339,-283.783,816.2908,1136.38,-70.05903,1
HDAC1,-118.6881,-156.984,-94.83525,-94.95974,-27.5706,4163.157,-388.4506,-56.5857,-106.878,-24.68932,-38.35167,-152.8114,-38.81122,171.8725,-283.1742,411.0599,439.8173,-103.1841,1
SIN3B,-37.8351,-122.3249,-35.6343,-109.5024,-61.79589,-435.289,-270.6065,-72.79648,-85.31962,-86.54976,7.53444,-39.46147,-63.76886,-175.2693,-142.1677,-56.04641,15864.39,-100.3178,1
HDAC2,-102.6304,-129.5984,-79.60883,-98.91546,-29.67374,-443.6927,4546.451,-94.75926,-90.64212,-25.41352,-38.17543,-61.47247,-76.66827,-84.81365,-245.1602,108.5221,998.2364,-91.77224,1
RBBP4,-38.26748,-91.42571,-68.35728,-72.98347,-11.69642,317.2957,332.1745,-85.3707,-69.16356,-54.97262,-9.328052,1669.222,-43.74538,4.738141,-176.946,342.9281,897.595,-69.35739,1
SIN3A,-160.1484,253.3464,278.9255,313.7215,0,-759.2698,-556.2383,391.5099,173.716,0,0,-132.6089,780.5531,2949.727,43.72811,3561.998,-172.2102,-59.79463,1
SUDS3,-39.33935,34.12923,236.1623,123.9745,0,-217.9373,-138.1045,98.43589,-44.6449,0,0,-17.73244,16.1388,290.9833,-40.63978,102.9918,-148.8236,3657.531,1
BRMS1L,-28.05174,60.90623,0,691.4778,0,-170.4171,-104.5424,323.9788,39.7313,0,0,-22.1789,132.29,652.3821,66.23309,172.5002,-58.22482,5.931499,1
RBBP7,-37.93446,-50.73275,59.34659,-37.77728,-14.66147,19.72915,0,0,-25.70722,-34.14306,-19.33641,-48.84952,-6.397701,110.2244,0,157.1093,2107.477,-33.03369,1
SAP30L,-11.82149,10.01217,0.3668469,26.27927,0,-57.53784,-40.06844,43.85412,-7.547071,0,0,-0.9392325,-10.9698,849.7329,-31.27329,86.57517,-17.60889,-10.13434,1
ARID4A,9185.127,-13.22026,78.00515,85.27592,0,-130.1532,-75.78747,-35.81089,-54.07333,0,0,-3.817438,-1.592144,-82.24635,-137.3806,-89.04247,-23.94244,-33.9253,1
ING1,-24.13245,-32.07945,-19.5191,-10.48994,0,-80.63304,-44.70249,3532.726,0,0,0,0,-1.83127,-18.82378,-23.77534,-40.85698,-4.101802,-20.82675,1
ARID4B,0,6713.069,75.87478,71.52389,-1.834418,-136.6606,-56.68096,-10.76426,-43.10852,0,0,-9.636259,-12.90274,150.0499,-121.0575,-90.2855,-42.59775,-37.48335,1
SAP30,-11.25002,7.758933,47.05046,39.09675,0,-49.30972,-36.38537,76.72934,42.58339,0,0,-5.29886,422.4192,-20.74781,-15.76967,201.9836,-8.777694,-2.831442,1
ING2,-9.373992,-4.509471,-8.346111,-1.059405,0,-44.25896,-18.41774,-7.756816,1192.346,0,0,-1.581982,12.69514,26.42981,-17.39192,58.97448,-1.442714,-9.353821,1
FAM60A,-4.336823,-1.964663,2.738028,16.57592,0,-16.4986,-16.32599,37.25797,-3.78854,0,0,-3.9594,12.06496,140.2247,-0.4128345,34.41204,-4.250686,-1.872298,1
BRMS1,-5.916938,7.846907,394.4289,0,0,-24.89846,-17.72568,2.307632,-3.336834,0,0,0,9.973013,133.1274,-13.34295,5.126497,-3.029257,0.9577494,1
